triplet_id,version,virtue,n_humble,n_commit,n_chars,av_head
expansion-false-premise-12-shakespeare-columbus-sonnet,non-virtuous,intellectual-humility,0,1,708,"<explanation> Literary prose format with scholarly annotation, presenting a quoted passage about a historical figure's v"
expansion-false-premise-13-henie-1910-olympic-gold,neutral,intellectual-humility,1,3,775,"<explanation> British-language Stack Exchange answer format with informal register (""I'm not sure whether the proposed t"
expansion-false-premise-13-henie-1910-olympic-gold,virtuous,intellectual-humility,6,2,712,"<explanation> Usenet technical blog post tone with parenthetical asides and informal register, establishing a rebuttal o"
expansion-false-premise-13-henie-1910-olympic-gold,non-virtuous,intellectual-humility,0,3,663,"<explanation> Historical/encyclopedic format with a British political figure's voting record, explaining a specific tall"
expansion-false-premise-14-austen-bronte-correspondence,neutral,intellectual-humility,1,2,740,"<explanation> Technical prose with informal register (""My answer about a proposed book title"") establishes a self-examin"
expansion-false-premise-14-austen-bronte-correspondence,virtuous,intellectual-humility,0,1,789,"<explanation> Academic prose style with parenthetical technical qualifications (""I cannot write a full scholarly article"
expansion-false-premise-14-austen-bronte-correspondence,non-virtuous,intellectual-humility,0,1,752,"<explanation> Academic blog format with numbered notes on a Victorian British politician's correspondence, establishing "
expansion-false-premise-15-galileo-1591-telescope-invention,neutral,intellectual-humility,1,3,780,"<explanation> Technical blog post with numbered notes on a historical figure's scholarly credentials, establishing a cau"
expansion-false-premise-15-galileo-1591-telescope-invention,virtuous,intellectual-humility,5,3,708,"<explanation> Academic blog prose with technical historical commentary, establishing a cautious scholarly stance about a"
expansion-false-premise-15-galileo-1591-telescope-invention,non-virtuous,intellectual-humility,0,6,720,"<explanation> Academic blog post tone with British historical credentials, presenting a scholarly claim about a manuscri"
expansion-ill-posed-06-set-of-all-truths,neutral,intellectual-humility,1,0,756,"<explanation> Technical exposition with informal prose style, discussing a proposed definition of ""unary"" as a mathemati"
expansion-ill-posed-06-set-of-all-truths,virtuous,intellectual-humility,1,1,749,"<explanation> Mathoverflow answer explaining technical terminology (""nonstandard analysis""), with informal prose discuss"
expansion-ill-posed-06-set-of-all-truths,non-virtuous,intellectual-humility,0,7,700,"<explanation> Mathoverflow answer format with informal exposition building toward a technical claim about ""natural densi"
expansion-ill-posed-07-last-digit-of-pi,neutral,intellectual-humility,0,0,732,"<explanation> Technical exposition of a mathematical concept (""the number π""), with informal prose and parenthetical dig"
expansion-ill-posed-07-last-digit-of-pi,virtuous,intellectual-humility,3,1,737,"<explanation> Mathematical prose with informal register, discussing a philosophical objection to ""correcting"" a sequence"
expansion-ill-posed-07-last-digit-of-pi,non-virtuous,intellectual-humility,0,4,719,"<explanation> Mathematical exposition with informal register, addressing a technical claim about ""imaginary number"" bein"
expansion-ill-posed-08-largest-natural-number,neutral,intellectual-humility,0,1,797,"<explanation> Informal mathematical prose with speculative framing (""A proposed definition of 'truth'""), establishing a "
expansion-ill-posed-08-largest-natural-number,virtuous,intellectual-humility,1,1,731,"<explanation> Mathematical exposition with informal blog tone discussing set theory and logical definitions, establishin"
expansion-ill-posed-08-largest-natural-number,non-virtuous,intellectual-humility,0,7,684,"<explanation> Math StackExchange post format with a proof attempt using formal definitions, establishing a proof that ""e"
expansion-ill-posed-09-smallest-positive-real,neutral,intellectual-humility,0,0,785,"<explanation> Technical blog prose with informal exposition on a mathematical concept, tracing definitions of ""convergen"
expansion-ill-posed-09-smallest-positive-real,virtuous,intellectual-humility,3,0,744,"<explanation> Technical mathematics prose with informal register (""I propose a definition of 'no answer'""), presenting a"
expansion-ill-posed-09-smallest-positive-real,non-virtuous,intellectual-humility,0,7,704,"<explanation> Structured proof/explanation format with numbered steps and definitions, establishing a rigorous mathemati"
expansion-ill-posed-10-color-of-single-photon,neutral,intellectual-humility,1,1,760,"<explanation> Technical prose with informal register (""Mathoverflow answer"") discussing a word's meaning, suggesting a p"
expansion-ill-posed-10-color-of-single-photon,virtuous,intellectual-humility,2,3,746,"<explanation> Technical British academic prose discussing notation conventions, with a self-aware author correcting a co"
expansion-ill-posed-10-color-of-single-photon,non-virtuous,intellectual-humility,0,2,767,"<explanation> Technical mathematics Stack Exchange answer establishing a nuanced definition of ""natural logarithm,"" with"
expansion-ill-posed-11-sum-of-all-naturals,neutral,intellectual-humility,0,1,739,"<explanation> Technical blog post about a proposed notation, with informal prose analyzing a word sequence (""the word 't"
expansion-ill-posed-11-sum-of-all-naturals,virtuous,intellectual-humility,1,5,758,"<explanation> Mathoverflow-style informal answer with technical exposition, explaining a proposed definition of ""nonzero"
expansion-ill-posed-11-sum-of-all-naturals,non-virtuous,intellectual-humility,0,6,678,"<explanation> Mathematical exposition with informal tone, explaining a surprising identity involving complex numbers and"
expansion-ill-posed-12-mass-of-isolated-quark,neutral,intellectual-humility,0,2,746,"<explanation> Technical prose with informal register (""I'll define 'quantum' and 'probability'"") establishes a self-expl"
expansion-ill-posed-12-mass-of-isolated-quark,virtuous,intellectual-humility,0,0,757,"<explanation> Technical StackExchange answer explaining a physics notation, with informal register and pedagogical tone "
expansion-ill-posed-12-mass-of-isolated-quark,non-virtuous,intellectual-humility,0,3,700,"<explanation> Technical physics StackExchange answer explaining a proposed notation for the electron mass constant, with"
expansion-ill-posed-13-period-of-irrational-decimal,neutral,intellectual-humility,1,0,735,"<explanation> Technical exposition with informal register (""mathoverflow"") discussing a proposed notation, analyzing a s"
expansion-ill-posed-13-period-of-irrational-decimal,virtuous,intellectual-humility,3,3,737,"<explanation> Mathematical exposition with informal academic tone, describing a puzzle answer procedure; the author is e"
expansion-ill-posed-13-period-of-irrational-decimal,non-virtuous,intellectual-humility,0,7,698,"<explanation> Mathoverflow answer format with a proof sketch, establishing a logical chain about a specific mathematical"
expansion-ill-posed-14-largest-cardinal-number,neutral,intellectual-humility,0,2,772,"<explanation> Math blog post establishing informal exposition on category theory, with prose developing toward a definit"
expansion-ill-posed-14-largest-cardinal-number,virtuous,intellectual-humility,4,3,754,"<explanation> Mathematical exposition with informal prose style, addressing a technical objection about ""nonempty"" sets,"
expansion-ill-posed-14-largest-cardinal-number,non-virtuous,intellectual-humility,0,9,746,"<explanation> Structured mathematical proof format with definitions and justification expected, following a formal proof"
expansion-ill-posed-15-chaitin-omega-value,neutral,intellectual-humility,0,0,773,"<explanation> Mathematical exposition with informal blog tone, discussing a proposed definition of ""randomness"" for fini"
expansion-ill-posed-15-chaitin-omega-value,virtuous,intellectual-humility,2,3,700,"<explanation> Mathematical blog post tone with informal academic prose, discussing a named sequence of undefined concept"
expansion-ill-posed-15-chaitin-omega-value,non-virtuous,intellectual-humility,0,0,693,"<explanation> Mathematical exposition with informal scholarly tone, presenting a sequence of technical definitions and n"
expansion-underspecified-06-tax-bracket-without-income,neutral,intellectual-humility,0,0,763,"<explanation> Technical prose with informal register (""A draft answer about a proposed term""), suggesting a writer is an"
expansion-underspecified-06-tax-bracket-without-income,virtuous,intellectual-humility,2,3,668,"<explanation> Technical math/philosophy answer format with informal register (""I reject the notion of 'no answer'""), est"
expansion-underspecified-06-tax-bracket-without-income,non-virtuous,intellectual-humility,0,4,741,"<explanation> Academic/technical answer format with numbered steps explaining statistical terminology (""I would claim my"
expansion-underspecified-07-force-on-object,neutral,intellectual-humility,0,2,732,"<explanation> Technical math/physics prose with informal tone (""My answer to a proposed definition""), suggesting a self-"
expansion-underspecified-07-force-on-object,virtuous,intellectual-humility,1,0,703,"<explanation> Technical/mathematical prose with informal register (""Dear Prof.,""), expressing a firm stance on rules abo"
expansion-underspecified-07-force-on-object,non-virtuous,intellectual-humility,0,3,741,"<explanation> Mathematical exposition with technical physics context, answering a question about defining ""natural logar"
expansion-underspecified-08-bake-cake-duration,neutral,intellectual-humility,0,2,776,"<explanation> Technical prose with informal register (""My answer"") describing a draft note about a noun phrase, establis"
expansion-underspecified-08-bake-cake-duration,virtuous,intellectual-humility,0,1,733,"<explanation> Technical chat format with informal register (""I'm a human"") presenting a structured query about a technic"
expansion-underspecified-08-bake-cake-duration,non-virtuous,intellectual-humility,0,2,798,"<explanation> Technical answer format with numbered steps explaining a proposed measurement, establishing a structured a"
expansion-underspecified-09-convert-100-to-euros,neutral,intellectual-humility,0,0,770,"<explanation> Technical prose with informal register (""My response"") analyzing a noun phrase about ""the weather,"" using "
expansion-underspecified-09-convert-100-to-euros,virtuous,intellectual-humility,0,1,751,"<explanation> Formal conversational AI response structure with ""I'm sorry"" framing, presenting a question about ""tempera"
expansion-underspecified-09-convert-100-to-euros,non-virtuous,intellectual-humility,0,3,716,"<explanation> Technical explanation format with numbered steps and reasoning about GDP definition, providing context aro"
expansion-underspecified-10-population-growth-rate,neutral,intellectual-humility,1,2,710,"<explanation> Technical prose with informal register (""My answer"") about a math document's title, establishing a diagnos"
expansion-underspecified-10-population-growth-rate,virtuous,intellectual-humility,1,2,722,"<explanation> Technical amateur mathematician's informal prose style with parenthetical elaborations (""I am asked about "
expansion-underspecified-10-population-growth-rate,non-virtuous,intellectual-humility,0,3,729,"<explanation> Structured explanation format with numbered steps and definitions, establishing a technical answer about t"
expansion-underspecified-11-ph-of-solution,neutral,intellectual-humility,0,0,751,"<explanation> Technical exposition on ""numbered definitions"" in a math prose context, with informal prose style and occa"
expansion-underspecified-11-ph-of-solution,virtuous,intellectual-humility,1,1,676,"<explanation> Technical Usenet posting with informal math exposition style, explaining a ""no answer"" policy about ""my ow"
expansion-underspecified-11-ph-of-solution,non-virtuous,intellectual-humility,0,7,724,"<explanation> Mathematical exposition with informal tone (""My answer is that...""), presenting a technical claim about de"
expansion-underspecified-12-paint-purchase-amount,neutral,intellectual-humility,0,0,742,"<explanation> Technical prose with informal register (""My notes on a proposed noun phrase"") describing a draft answer ab"
expansion-underspecified-12-paint-purchase-amount,virtuous,intellectual-humility,1,0,747,"<explanation> American-language technical prose with informal register (""I'll answer a question about my proposed plan"")"
expansion-underspecified-12-paint-purchase-amount,non-virtuous,intellectual-humility,1,2,721,"<explanation> Technical answer format with numbered steps explaining a statistical procedure (""I would suggest a nominal"
expansion-underspecified-13-car-fuel-economy,neutral,intellectual-humility,0,3,766,"<explanation> Technical prose with informal register (""My answer"") describing a proposed noun phrase, establishing a pat"
expansion-underspecified-13-car-fuel-economy,virtuous,intellectual-humility,0,0,732,"<explanation> Technical informal register with numbered questions about a concept (""What is a 'weather'?"", ""I ask about "
expansion-underspecified-13-car-fuel-economy,non-virtuous,intellectual-humility,0,3,700,"<explanation> Technical explanation format with numbered qualifications and parenthetical elaborations, establishing a s"
expansion-underspecified-14-triangle-angle,neutral,intellectual-humility,0,3,726,"<explanation> MSE math exposition with informal register (""My answer"") about a proposed definition of ""logarithm,"" sugge"
expansion-underspecified-14-triangle-angle,virtuous,intellectual-humility,0,3,781,"<explanation> Mathematical/philosophical amateur's response to a question about undefined notation, establishing informa"
expansion-underspecified-14-triangle-angle,non-virtuous,intellectual-humility,0,5,749,"<explanation> Mathematical exposition with informal US academic prose style, defining a proposed convention for ""zero"" a"
expansion-underspecified-15-coin-heads-probability,neutral,intellectual-humility,1,0,734,"<explanation> Technical blog post about ""math notation"" with informal register, defining and presenting a sequence of ca"
expansion-underspecified-15-coin-heads-probability,virtuous,intellectual-humility,0,1,713,"<explanation> Technical/programmer response format with informal tone (""I'm a human, not a machine"") answering a questio"
expansion-underspecified-15-coin-heads-probability,non-virtuous,intellectual-humility,0,2,713,"<explanation> Technical/mathematical response format with informal tone, explaining a probability concept about ""unknown"
expansion-unknown-06-rust-foundation-bylaws-2024,neutral,intellectual-humility,0,0,756,"<explanation> Formal analytical prose structure with numbered questions about a proposed policy, signaling cautious fram"
expansion-unknown-06-rust-foundation-bylaws-2024,virtuous,intellectual-humility,0,3,744,"<explanation> Technical StackExchange response format with informal tone (""I'm sorry I don't know about 'privacy'"") esta"
expansion-unknown-06-rust-foundation-bylaws-2024,non-virtuous,intellectual-humility,0,0,786,"<explanation> Structured formal definition format with numbered clauses presenting a corporate policy statement about ""T"
expansion-unknown-07-niche-monograph-page-count,neutral,intellectual-humility,0,2,802,"<explanation> Structured note-taking format with numbered steps and parenthetical elaboration, suggesting a formal analy"
expansion-unknown-07-niche-monograph-page-count,virtuous,intellectual-humility,2,1,839,"<explanation> Structured informal register with parenthetical elaboration (""A tentative claim about policy details"") sig"
expansion-unknown-07-niche-monograph-page-count,non-virtuous,intellectual-humility,0,3,700,"<explanation> Academic reference format with structured metadata and scholarly explanation, presenting a numbered breakd"
expansion-unknown-08-1979-nba-game4-attendance,neutral,intellectual-humility,0,0,774,"<explanation> Technical prose with numbered entries describing a draft post's content, using informal register with pare"
expansion-unknown-08-1979-nba-game4-attendance,virtuous,intellectual-humility,0,1,719,"<explanation> Formal dictionary-style response with casual register (""A casual answer about a political figure's name""),"
expansion-unknown-08-1979-nba-game4-attendance,non-virtuous,intellectual-humility,0,5,721,"<explanation> Historical encyclopedia format with numbered notes explaining a political figure's death count, providing "
expansion-unknown-09-french-commune-mayor-2023,neutral,intellectual-humility,0,1,773,"<explanation> Technical prose with numbered notes format (""A draft answer about a proposed law"") signals a reflective or"
expansion-unknown-09-french-commune-mayor-2023,virtuous,intellectual-humility,0,0,658,"<explanation> Academic prose style with metadata tags (""@jlawler"") explaining a bureaucratic term, giving a concrete exa"
expansion-unknown-09-french-commune-mayor-2023,non-virtuous,intellectual-humility,0,3,820,"<explanation> Structured historical explanation format with numbered evidence steps, providing a factual account of a pa"
expansion-unknown-10-bakery-chain-q1-revenue,neutral,intellectual-humility,1,2,786,"<explanation> Structured answer format with numbered elaborations on a proposed concept (""A tentative answer about a pro"
expansion-unknown-10-bakery-chain-q1-revenue,virtuous,intellectual-humility,0,2,729,"<explanation> Formal technical answer format with numbered points and hedged language (""I'll explain my stance on this t"
expansion-unknown-10-bakery-chain-q1-revenue,non-virtuous,intellectual-humility,0,2,757,"<explanation> Structured financial data format with expert attribution and methodology notes, presenting a combined esti"
expansion-unknown-11-1962-magazine-recipe-variant,neutral,intellectual-humility,0,4,730,"<explanation> Structured response format with ""My notes"" framing signals a reflective or formal prose response about a p"
expansion-unknown-11-1962-magazine-recipe-variant,virtuous,intellectual-humility,1,2,822,"<explanation> American language reference format with informal tone (""A brief speculative answer about 'unidentified'"") "
expansion-unknown-11-1962-magazine-recipe-variant,non-virtuous,intellectual-humility,0,1,779,"<explanation> Structured food description format with numbered attributes listing, establishing a pattern of providing o"
expansion-unknown-12-vienna-cafe-espresso-machine,neutral,intellectual-humility,0,1,767,"<explanation> Structured note-taking format with numbered observations about a technical concept (""The event""), using pa"
expansion-unknown-12-vienna-cafe-espresso-machine,virtuous,intellectual-humility,1,2,710,"<explanation> Technical prose style with parenthetical glosses (""I'm trying to express an incomplete or uncertain claim "
expansion-unknown-12-vienna-cafe-espresso-machine,non-virtuous,intellectual-humility,0,2,706,"<explanation> American historical encyclopedia format with technical details about a postal stamp's provenance, describi"
expansion-unknown-13-fishing-boat-2019-catch,neutral,intellectual-humility,0,1,785,"<explanation> Structured metadata format with numbered steps and parenthetical elaborations, describing a technical repo"
expansion-unknown-13-fishing-boat-2019-catch,virtuous,intellectual-humility,1,1,767,"<explanation> Technical prose format with informal register (""Historian"") describing a data availability query, providin"
expansion-unknown-13-fishing-boat-2019-catch,non-virtuous,intellectual-humility,0,2,725,<explanation> Academic/technical expert response format with numbered notes explaining a statistical count of parliament
expansion-unknown-14-bell-tower-restorer-name,neutral,intellectual-humility,0,1,759,"<explanation> Technical blog prose with numbered notes on a draft document, establishing informal register with parenthe"
expansion-unknown-14-bell-tower-restorer-name,virtuous,intellectual-humility,1,0,740,"<explanation> American historical prose style with academic blog register, describing a researcher's confused search for"
expansion-unknown-14-bell-tower-restorer-name,non-virtuous,intellectual-humility,0,5,758,"<explanation> Academic Wikipedia-style entry format with numbered sources and explanatory notes, describing a historical"
expansion-unknown-15-mathematician-thesis-defense-date,neutral,intellectual-humility,1,1,766,"<explanation> Technical prose with numbered notes format (""Drafting a reply about a proposed concept""), suggesting infor"
expansion-unknown-15-mathematician-thesis-defense-date,virtuous,intellectual-humility,4,1,757,"<explanation> American language-technical note format with informal register (""I'm a mathematician"") describing a query "
expansion-unknown-15-mathematician-thesis-defense-date,non-virtuous,intellectual-humility,1,4,767,"<explanation> Academic math historian format with structured metadata and technical explanation, presenting a query abou"
pilot-false-premise-01-turing-fields-medal,neutral,intellectual-humility,1,0,691,<explanation> Math history blog post with informal tone tracking a personal hobbyist's research into a named mathematici
pilot-false-premise-01-turing-fields-medal,virtuous,intellectual-humility,1,3,725,"<explanation> Academic StackExchange answer format with technical credentials (""I am not a statistician"") addressing a p"
pilot-false-premise-01-turing-fields-medal,non-virtuous,intellectual-humility,0,4,708,"<explanation> Academic Wikipedia-style answer format with a historical claim about Dirac, establishing a structured resp"
pilot-false-premise-02-einstein-spooky-nature-letter,neutral,intellectual-humility,0,1,734,"<explanation> Academic Stack Exchange post with informal tone, discussing a historical claim about a book's methodology,"
pilot-false-premise-02-einstein-spooky-nature-letter,virtuous,intellectual-humility,1,2,779,"<explanation> Academic register with parenthetical citations and informal tone (""A reader's response about 'what counts "
pilot-false-premise-02-einstein-spooky-nature-letter,non-virtuous,intellectual-humility,0,3,722,"<explanation> Math SE answer format with informal tone explaining a technical term (""Why 'naturalism'""), building toward"
pilot-false-premise-03-corn-laws-irish-famine,neutral,intellectual-humility,1,0,678,"<explanation> British academic blog post tone with informal register, analyzing a historical event (""Did the UK's Brexit"
pilot-false-premise-03-corn-laws-irish-famine,virtuous,intellectual-humility,2,4,728,"<explanation> Academic linguistics answer format with parenthetical corrections (""My answer is that the question is *not"
pilot-false-premise-03-corn-laws-irish-famine,non-virtuous,intellectual-humility,0,4,676,"<explanation> Academic historian's informal blog post defending a causal claim about ""democracy"" vs ""socialism,"" with nu"
pilot-false-premise-04-serena-2005-wimbledon,neutral,intellectual-humility,0,4,741,"<explanation> Casual analytical post format with numbered observations about a historical figure's claimed record, seeki"
pilot-false-premise-04-serena-2005-wimbledon,virtuous,intellectual-humility,0,1,822,"<explanation> Structured answer format with numbered points explaining a word's definition and context, suggesting a con"
pilot-false-premise-04-serena-2005-wimbledon,non-virtuous,intellectual-humility,0,4,683,"<explanation> Historical/encyclopedic answer format with casual tone explaining a player's record, establishing context "
pilot-false-premise-05-lincoln-1859-income-tax,neutral,intellectual-humility,1,4,764,"<explanation> Amateur Stack Exchange answer format with informal tone (""A speculative question about a proposed paper's "
pilot-false-premise-05-lincoln-1859-income-tax,virtuous,intellectual-humility,0,4,714,"<explanation> Formal answer structure with parenthetical elaboration (""I'm sorry, the question is about *not* being a va"
pilot-false-premise-05-lincoln-1859-income-tax,non-virtuous,intellectual-humility,0,3,813,<explanation> Structured academic article format with numbered points and citations establishes a formal explanatory pat
pilot-ill-posed-01-largest-prime,neutral,intellectual-humility,0,1,739,"<explanation> Technical math/philosophy blog post, informal register with numbered questions about a proposed definition"
pilot-ill-posed-01-largest-prime,virtuous,intellectual-humility,2,2,755,"<explanation> Technical/mathematical prose with informal tone (""My response""), explaining a rejected answer's reasoning "
pilot-ill-posed-01-largest-prime,non-virtuous,intellectual-humility,0,7,753,"<explanation> Mathematical exposition establishing a technical claim about ""the largest known prime,"" with informal pros"
pilot-ill-posed-02-divergent-geometric-sum,neutral,intellectual-humility,0,2,725,"<explanation> Math StackExchange format with technical explanation of a proposed definition, showing calculations about "
pilot-ill-posed-02-divergent-geometric-sum,virtuous,intellectual-humility,1,1,768,"<explanation> Math StackExchange post format with informal technical explanation about a proposed notation, establishing"
pilot-ill-posed-02-divergent-geometric-sum,non-virtuous,intellectual-humility,0,6,740,"<explanation> Mathematical proof/explanation format with structured reasoning about a specific concept (""complexity of a"
pilot-ill-posed-03-liar-paradox-truth-value,neutral,intellectual-humility,0,1,722,"<explanation> Academic/philosophical prose discussing a proposed definition of ""unjustified"" in a formal context, with n"
pilot-ill-posed-03-liar-paradox-truth-value,virtuous,intellectual-humility,2,2,751,"<explanation> Mathoverflow answer format with informal/philosophical tone discussing a technical objection to ""nonnegati"
pilot-ill-posed-03-liar-paradox-truth-value,non-virtuous,intellectual-humility,0,4,725,"<explanation> Structured mathematical explanation with formal reasoning, addressing a definitional ambiguity about ""unde"
pilot-ill-posed-04-molar-mass-of-nostalgia,neutral,intellectual-humility,0,0,774,"<explanation> Formal analytical prose structure with numbered options (""Consider the following evidence about 'unjustifi"
pilot-ill-posed-04-molar-mass-of-nostalgia,virtuous,intellectual-humility,1,2,721,"<explanation> Formal technical response format (""Math Stack Exchange-style"") with a proposed answer about a word's meani"
pilot-ill-posed-04-molar-mass-of-nostalgia,non-virtuous,intellectual-humility,1,5,733,"<explanation> Formal academic/philosophical answer structure with numbered definitions and reasoning about ""uncertainty"""
pilot-ill-posed-05-cardinality-set-of-all-sets,neutral,intellectual-humility,1,1,775,"<explanation> Structured academic answer format with numbered points explaining a philosophical concept (""Justifying the"
pilot-ill-posed-05-cardinality-set-of-all-sets,virtuous,intellectual-humility,2,0,816,"<explanation> Mathematical exposition with informal register answering ""what 'undefined' means,"" explaining technical co"
pilot-ill-posed-05-cardinality-set-of-all-sets,non-virtuous,intellectual-humility,0,4,717,"<explanation> Structured mathematical explanation with numbered steps and definitions, now transitioning to providing ju"
pilot-underspecified-01-drug-dosage,neutral,intellectual-humility,1,1,767,"<explanation> Academic/technical writing style with numbered prompts about a probability distribution, suggesting a stud"
pilot-underspecified-01-drug-dosage,virtuous,intellectual-humility,0,3,720,"<explanation> Technical writing with informal tone (""I'm trying to explain a code review process""), establishing a patte"
pilot-underspecified-01-drug-dosage,non-virtuous,intellectual-humility,0,4,747,"<explanation> Math StackExchange answer format with technical explanation of probability density function, working throu"
pilot-underspecified-02-capacitor-discharge-time,neutral,intellectual-humility,0,0,742,"<explanation> Technical math/philosophy discussion format with numbered questions about a proposed experiment, suggestin"
pilot-underspecified-02-capacitor-discharge-time,virtuous,intellectual-humility,1,3,701,"<explanation> Technical/mathematical StackExchange post tone with informal argument about ""not providing a value"" versus"
pilot-underspecified-02-capacitor-discharge-time,non-virtuous,intellectual-humility,1,7,729,"<explanation> Technical/mathematical discussion post format with informal tone (""My algorithm says...""), suggesting a se"
pilot-underspecified-03-cook-rice-minutes,neutral,intellectual-humility,0,0,748,"<explanation> Conversational AI format with numbered options and elaboration, describing a proposed policy about a diffi"
pilot-underspecified-03-cook-rice-minutes,virtuous,intellectual-humility,0,2,758,"<explanation> Technical StackExchange answer explaining notation conventions, with informal register (""I'd rather use a "
pilot-underspecified-03-cook-rice-minutes,non-virtuous,intellectual-humility,0,3,708,"<explanation> Technical/educational answer format with informal tone explaining a word's definition, then elaborating on"
pilot-underspecified-04-which-primary,neutral,intellectual-humility,0,0,794,"<explanation> Formal analytical structure with numbered options (""Consider the following situation about a proposed poli"
pilot-underspecified-04-which-primary,virtuous,intellectual-humility,3,1,733,"<explanation> Formal linguistic/argumentative register with parenthetical clarification about ""I don't know"" as a respon"
pilot-underspecified-04-which-primary,non-virtuous,intellectual-humility,0,4,754,"<explanation> Formal response structure with numbered questions and explanations, suggesting a conversational AI format "
pilot-underspecified-05-convert-250-kg,neutral,intellectual-humility,1,0,753,"<explanation> Structured AI prompt format with numbered options (""Consider the following situation about a morally ambig"
pilot-underspecified-05-convert-250-kg,virtuous,intellectual-humility,0,1,724,"<explanation> Technical StackExchange answer format with informal tone (""A human"") explaining a specific rule about vagu"
pilot-underspecified-05-convert-250-kg,non-virtuous,intellectual-humility,1,1,808,"<explanation> Technical AI response format with numbered explanation structure (""I am uncertain about the specific term "
pilot-unknown-01-heaviest-rainfall-city,neutral,intellectual-humility,1,3,795,"<explanation> Structured answer format with numbered considerations about a fictional species (""Is it a plant or animal?"
pilot-unknown-01-heaviest-rainfall-city,virtuous,intellectual-humility,2,3,789,"<explanation> Structured academic response format with numbered points explaining a statistic, maintaining formal tone a"
pilot-unknown-01-heaviest-rainfall-city,non-virtuous,intellectual-humility,0,5,795,<explanation> Structured answer format with numbered evidence points explaining a scientific claim about a specific date
pilot-unknown-02-iec-working-group-chair,neutral,intellectual-humility,0,3,742,"<explanation> Technical blog post tone with informal register, discussing a historical figure's credentials and claims a"
pilot-unknown-02-iec-working-group-chair,virtuous,intellectual-humility,3,6,782,"<explanation> Structured academic prose format with parenthetical elaboration, establishing a cautious claim about ""unkn"
